1570783267.572309|SWI|PID MISMATCH FIX|
1570784223.191709|ASL|block21|
1570784223.192804|ASL|block21|
1570784223.194478|ASL|block21|
1570784223.201769|ASL|block21|
1570784223.212010|ASL|block21|
1570784223.377285|ASL|block21|
1570784223.378316|ASL|block21|
1570784223.380637|ASL|block21|
1570784223.392083|ASL|block21|
1570784223.404580|ASL|block21|
1570784223.415294|ASL|block21|
1570784223.426230|ASL|block21|
1570784223.441571|ASL|block21|
1570784223.448676|ASL|block21|
1570784223.461714|ASL|block21|
1570784223.470562|ASL|block21|
1570784223.484343|ASL|block21|
1570784223.493359|ASL|block21|
1570784223.566759|ASL|block21|
1570784223.568313|ASL|block21|
1570784223.569677|ASL|block21|
1570784223.571018|ASL|block21|
1570784223.572184|ASL|block21|
1570784223.573316|ASL|block21|
1570784223.574825|ASL|block21|
1570784223.583801|ASL|block21|
1570784223.596756|ASL|block21|
1570784223.673525|ASL|block21|
1570784223.755024|ASL|block21|
1570784223.775044|ASL|block21|
1570784223.853867|ASL|block21|
1570784223.875777|ASL|block21|
1570784223.943277|ASL|block21|
1570784223.944541|ASL|block21|
1570784223.945687|ASL|block21|
1570784223.946786|ASL|block21|
1570784223.947877|ASL|block21|
1570784223.949374|ASL|block21|
1570784223.954352|ASL|block21|
1570784223.965601|ASL|block21|
1570784223.979137|ASL|block21|
1570784223.988472|ASL|block21|
1570784224.000683|ASL|block21|
1570784224.010678|ASL|block21|
1570784224.022919|ASL|block21|
1570784224.045438|ASL|block21|
1570784224.056456|ASL|block21|
1570784224.067421|ASL|block21|
1570784224.132147|ASL|block21|
1570784224.133372|ASL|block21|
1570784224.134622|ASL|block21|
1570784224.135907|ASL|block21|
1570784224.137048|ASL|block21|
1570784224.138636|ASL|block21|
1570784224.147484|ASL|block21|
1570784224.158891|ASL|block21|
1570784224.169956|ASL|block21|
1570784224.179273|ASL|block21|
1570784224.190991|ASL|block21|
1570784224.202378|ASL|block21|
1570784224.215143|ASL|block21|
1570784224.224898|ASL|block21|
1570784224.239329|ASL|block21|
1570784224.246668|ASL|block21|
1570784224.323012|ASL|block21|
1570784224.324399|ASL|block21|
1570784224.393678|ASL|block21|
1570784224.415931|ASL|block21|
1570784224.438307|ASL|block21|
1570784224.515370|ASL|block21|
1570784224.516567|ASL|block21|
1570784224.517677|ASL|block21|
1570784224.518739|ASL|block21|
1570784224.519824|ASL|block21|
1570784224.528601|ASL|block21|
1570784224.551511|ASL|block21|
1570784224.562687|ASL|block21|
1570784224.574875|ASL|block21|
1570784224.584700|ASL|block21|
1570784224.596198|ASL|block21|
1570784224.606800|ASL|block21|
1570784224.620091|ASL|block21|
1570784224.630269|ASL|block21|
1570784224.703795|ASL|block21|
1570784224.705694|ASL|block21|
1570784224.707134|ASL|block21|
1570784224.708250|ASL|block21|
1570784224.709319|ASL|block21|
1570784224.710381|ASL|block21|
1570784224.712072|ASL|block21|
1570784224.720698|ASL|block21|
1570784224.730727|ASL|block21|
1570784224.741792|ASL|block21|
1570784224.755808|ASL|block21|
1570784315.119246|LMDrag|dragged after three finger click block|
1570784339.921325|ASL|block21|
1570784339.930666|ASL|block21|
1570784339.942802|ASL|block21|
1570784339.953460|ASL|block21|
1570784339.965860|ASL|block21|
1570784339.975666|ASL|block21|
1570784339.989089|ASL|block21|
1570784340.002073|ASL|block21|
1570784340.010367|ASL|block21|
1570784340.022400|ASL|block21|
1570784340.033975|ASL|block21|
1570784340.043894|ASL|block21|
1570784340.056590|ASL|block21|
1570784340.065736|ASL|block21|
1570784340.077698|ASL|block21|
1570784340.088213|ASL|block21|
1570784340.100881|ASL|block21|
1570784340.110819|ASL|block21|
1570784340.122609|ASL|block21|
1570784340.133663|ASL|block21|
1570784340.144537|ASL|block21|
1570784340.156108|ASL|block21|
1570784340.167007|ASL|block21|
1570784340.178392|ASL|block21|
1570784340.189227|ASL|block21|
1570784340.202667|ASL|block21|
1570784340.214713|ASL|block21|
1570784340.223896|ASL|block21|
1570784340.235862|ASL|block21|
1570784340.247917|ASL|block21|
1570784340.256593|ASL|block21|
1570784340.279355|ASL|block21|
1570784340.314987|ASL|block21|
1570784340.347661|ASL|block21|
1570784340.450070|ASL|block21|
1570784340.470747|ASL|block21|
1570784340.483996|ASL|block21|
1570784340.493579|ASL|block21|
1570784340.505968|ASL|block21|
1570784340.516043|ASL|block21|
1570784340.527286|ASL|block21|
1570784340.540100|ASL|block21|
1570784340.614564|ASL|block31|
1570784340.616695|ASL|block21|
1570784340.617968|ASL|block21|
1570784340.619056|ASL|block21|
1570784340.620039|ASL|block21|
1570784340.621018|ASL|block21|
1570784340.622569|ASL|block21|
1570784340.628163|ASL|block21|
1570784340.640487|ASL|block21|
1570784340.652658|ASL|block21|
1570784340.661853|ASL|block21|
1570784340.677439|ASL|block21|
1570784340.684263|ASL|block21|
1570784340.696131|ASL|block21|
1570784340.785363|ASL|block21|
1570784340.807896|ASL|block21|
1570784340.877594|ASL|block21|
1570784340.878776|ASL|block21|
1570784341.101875|ASL|block21|
1570784354.230698|ASL|block21|
1570784354.242863|ASL|block21|
1570784354.251956|ASL|block21|
1570784354.265115|ASL|block21|
1570784354.274793|ASL|block21|
1570784354.287393|ASL|block21|
1570784354.298414|ASL|block21|
1570784354.309436|ASL|block21|
1570784354.320196|ASL|block21|
1570784354.331197|ASL|block21|
1570784354.343950|ASL|block21|
1570784354.352983|ASL|block21|
1570784354.365122|ASL|block21|
1570784354.375769|ASL|block21|
1570784354.387681|ASL|block21|
1570784354.400254|ASL|block21|
1570784354.410251|ASL|block21|
1570784354.422838|ASL|block21|
1570784354.433642|ASL|block21|
1570784354.445204|ASL|block21|
1570784354.456527|ASL|block21|
1570784354.465647|ASL|block21|
1570784354.477338|ASL|block21|
1570784354.488477|ASL|block21|
1570784354.500899|ASL|block21|
1570784354.511139|ASL|block21|
1570784354.522798|ASL|block21|
1570784354.533563|ASL|block21|
1570784354.544738|ASL|block21|
1570784354.557954|ASL|block21|
1570784354.566662|ASL|block21|
1570784354.580159|ASL|block21|
1570784354.589331|ASL|block21|
1570784354.615104|ASL|block21|
1570784354.623852|ASL|block21|
1570784354.636343|ASL|block21|
1570784354.647791|ASL|block21|
1570784354.657751|ASL|block21|
1570784354.670051|ASL|block21|
1570784354.680423|ASL|block21|
1570784354.692783|ASL|block21|
1570784354.703659|ASL|block21|
1570784354.714552|ASL|block21|
1570784354.724854|ASL|block21|
1570784354.736067|ASL|block21|
1570784354.747634|ASL|block21|
1570784354.758256|ASL|block21|
1570784354.769439|ASL|block21|
1570784354.780712|ASL|block21|
1570784354.793936|ASL|block21|
1570784354.803114|ASL|block21|
1570784354.815855|ASL|block21|
1570784354.828045|ASL|block21|
1570784354.837677|ASL|block21|
1570784354.849209|ASL|block21|
1570784354.861597|ASL|block21|
1570784354.870827|ASL|block21|
1570784354.883881|ASL|block21|
1570784354.893237|ASL|block21|
1570784354.906094|ASL|block21|
1570784354.915562|ASL|block21|
1570784354.961220|ASL|block21|
1570784356.076871|ASL|block21|
1570784356.086261|ASL|block21|
1570784356.098821|ASL|block21|
1570784356.108638|ASL|block21|
1570784356.120182|ASL|block21|
1570784356.131347|ASL|block21|
1570784356.143348|ASL|block21|
1570784356.153672|ASL|block21|
1570784356.165547|ASL|block21|
1570784356.177675|ASL|block21|
1570784356.187257|ASL|block21|
1570784356.198792|ASL|block21|
1570784356.209488|ASL|block21|
1570784356.220741|ASL|block21|
1570784356.231979|ASL|block21|
1570784356.245340|ASL|block21|
1570784356.257603|ASL|block21|
1570784356.267859|ASL|block21|
1570784356.279544|ASL|block21|
1570784356.288970|ASL|block21|
1570784356.300600|ASL|block21|
1570784356.312809|ASL|block21|
1570784356.321985|ASL|block21|
1570784356.335161|ASL|block21|
1570784356.344452|ASL|block21|
1570784356.356020|ASL|block21|
1570784356.367281|ASL|block21|
1570784356.378830|ASL|block21|
1570784356.391638|ASL|block21|
1570784356.400773|ASL|block21|
1570784356.414168|ASL|block21|
1570784356.423100|ASL|block21|
1570784356.434915|ASL|block21|
1570784356.445571|ASL|block21|
1570784356.459151|ASL|block21|
1570784356.470694|ASL|block21|
1570784356.481491|ASL|block21|
1570784356.492338|ASL|block21|
1570784356.502997|ASL|block21|
1570784356.514004|ASL|block21|
1570784356.525525|ASL|block21|
1570784356.535100|ASL|block21|
1570784356.546270|ASL|block21|
1570784356.558003|ASL|block21|
1570784356.571386|ASL|block21|
1570784356.582565|ASL|block21|
1570784356.592884|ASL|block21|
1570784356.603858|ASL|block21|
1570784356.614288|ASL|block21|
1570784356.625548|ASL|block21|
1570784356.636945|ASL|block21|
1570784356.650353|ASL|block21|
1570784356.663710|ASL|block21|
1570784356.671705|ASL|block21|
1570784356.683998|ASL|block21|
1570784356.694210|ASL|block21|
1570784356.705574|ASL|block21|
1570784356.717288|ASL|block21|
1570784356.727329|ASL|block21|
1570784356.739770|ASL|block21|
1570784356.751229|ASL|block21|
1570784356.762391|ASL|block21|
1570784356.772326|ASL|block21|
1570784356.783691|ASL|block21|
1570784356.795235|ASL|block21|
1570784356.805946|ASL|block21|
1570784356.818711|ASL|block21|
1570784356.828172|ASL|block21|
1570784356.841039|ASL|block21|
1570784356.850453|ASL|block21|
1570784356.863743|ASL|block21|
1570784356.877122|ASL|block21|
1570784356.951313|ASL|block31|
1570784356.954373|ASL|block21|
1570784356.955445|ASL|block21|
1570784356.956489|ASL|block21|
1570784356.957505|ASL|block21|
1570784356.958576|ASL|block21|
1570784356.959588|ASL|block21|
1570784356.962694|ASL|block21|
1570784356.975595|ASL|block21|
1570784356.985604|ASL|block21|
1570784356.997614|ASL|block21|
1570784357.008060|ASL|block21|
1570784357.019286|ASL|block21|
1570784357.032786|ASL|block21|
1570784357.041900|ASL|block21|
1570784357.053592|ASL|block21|
1570784357.064423|ASL|block21|
1570784357.077469|ASL|block21|
1570784357.089605|ASL|block21|
1570784357.100208|ASL|block21|
1570784357.111206|ASL|block21|
1570784357.121206|ASL|block21|
1570784357.132843|ASL|block21|
1570784357.210163|ASL|block21|
1570784357.222315|ASL|block21|
1570784357.291197|ASL|block21|
1570784357.400756|ASL|block21|
1570784357.402525|ASL|block21|
1570784357.403789|ASL|block21|
1570784357.405552|ASL|block21|
1570784357.424785|ASL|block21|
1570784357.587621|ASL|block21|
1570784357.696595|ASL|block21|
1570784395.980127|c00|14|
1570784396.753841|c00|14|
1570784540.779207|LMDrag|dragged after three finger click block|
1570784660.399092|LMDrag|dragged after three finger click block|
1570784694.725001|LMDrag|dragged after three finger click block|
1570784702.970188|LMDrag|dragged after three finger click block|
1570784741.590744|LMDrag|dragged after three finger click block|
1570784744.639246|LMDrag|dragged after three finger click block|
1570784748.273198|LMDrag|dragged after three finger click block|
1570784778.637111|LMDrag|dragged after three finger click block|
1570784781.606401|LMDrag|dragged after three finger click block|
1570784795.442482|c00|14|
1570784796.612030|c00|14|
1570784860.129081|LMDrag|dragged after three finger click block|
1570784922.510628|LMDrag|dragged after three finger click block|
1570784945.596859|LOGIN|RESTART AFTER LOGIN|
1570784945.599145|xw|should relaunch|
1570784945.599395|xw|BTTRelaunch found|
1570784945.599424|xw|BTTRelaunch call seems successfull|
1570784945.610763|TERMINATE|SHOULDTERMINATE|
1570784946.007635|LAUNCH|DIDLaunch START|
1570784946.013397|SYS|Running on macOS: 10.14.6|
1570784946.013417|SYS|BTT Version: 3.202|
1570784946.013446|SYS|Device: MacBookPro15,2|
1570784946.061256|usage|loading todays usage|
1570784946.077092|short|init|
1570784946.078958|STORE|The store already exists in udefs|
1570784946.079058|xw|the new store already exists btt_data_store.version_3_202_build_1378|
1570784946.093603|LIC|idate 2019-09-30 08:00:36 +0000|
1570784946.104271|LIC|closing previous instance of BetterTouchTool relaunch|
1570784946.110477|LIC|license appears to be valid|
1570784946.111248|LIC|license dictionary {
    CheckoutName = "Dirk Tornow";
    Email = "dirk@smings.com";
    LicenseType = "paddle_lifetime";
    Licenses = 1;
    Name = "Dirk Tornow";
    OrderID = 3e077963858a1f0ad0eee360737f6c61;
    Product = BetterTouchTool;
    Signature = <2f068c1d e2832ee2 79716cd0 54f19928 ad36a080 0ea90591 22a24b23 dba7006b c9d8a760 3269c7c1 fecdba13 27656c75 18225850 6278e974 cb23f0ee e28fe7b4 52826556 43928061 07604770 06fb405b f9b0de21 07e1d5c0 201ca9b8 34eb9468 6598e681 49c29b10 a8c415fa f10a4b15 2b7f51ae 04f37876 8ba28ded 5766fc94>;
    Timestamp = 1568360356;
    TransactionID = "39422015-chreb48eb62a14f-6ce7abad5e";
}|
1570784946.111307|LIC|systemdate 2019-09-13 07:39:16 +0000|
1570784946.111316|LIC|using date 1568360356|
1570784946.111338|lic|newest date 2019-09-13 07:39:16 +0000|
1570784946.111344|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570784946.112826|lic|newest date 2019-09-13 07:39:16 +0000|
1570784946.112841|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570784946.112978|LIC|License is valid for this version|
1570784946.126745|lic|newest date 2019-09-13 07:39:16 +0000|
1570784946.126764|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570784946.141753|xw|is trusted|
1570784946.157388|short|call sharedInstance4|
1570784946.214493|M|mt_stop10|
1570784946.216188|M|register touchbar mbp trackpad|
1570784946.216204|M|register internal trackpad|
1570784946.216317|M|register magic mouse|
1570784946.216499|M|register magic trackpad 2|
1570784946.216607|STDEV|6881|
1570784946.723577|lic|newest date 2019-09-13 07:39:16 +0000|
1570784946.723599|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570784946.725593|START|TB VISIBLE 0|
1570784946.725609|START|TB FORCED HIDDEN 0|
1570784946.729810|LAUNCH|DIDLaunch END frontmostApp: com.google.Chrome, touchpadMode 0, windowSnappingDisabled 0, singleFingerScrollingDisabled 0, mmScrollingUsed 0, tpScrollingUsed 0, tpPinchUsed 0, tpRotateUsed 0|
1570784946.749638|lic|newest date 2019-09-13 07:39:16 +0000|
1570784946.749654|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570784946.767685|SLEEP|FORCESHOWAFTERSLEEP2|
1570784946.767710|TB|Force show Touch Bar|
1570784946.909953|SLEEP|FORCESHOWAFTERSLEEP3|
1570784946.909974|TB|Force show Touch Bar|
1570784947.684669|M|mt_stop2|
1570784947.685448|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(McDiTo) port(50675)|
1570784947.686350|M|unregister magic trackpad 2|
1570784947.686382|M|unregister magic mouse|
1570784947.687771|M|unregister magic trackpad 2|
1570784947.689458|M|register touchbar mbp trackpad|
1570784947.689487|M|register internal trackpad|
1570784947.689650|M|register magic mouse|
1570784947.689915|M|register magic trackpad 2|
1570784947.690045|STDEV|6881|
1570784958.588014|SWI|PID MISMATCH FIX|
1570784962.906161|TERMINATE|SHOULDTERMINATE|
1570785044.676930|LAUNCH|DIDLaunch START|
1570785044.688051|SYS|Running on macOS: 10.14.6|
1570785044.688085|SYS|BTT Version: 3.202|
1570785044.688129|SYS|Device: MacBookPro15,2|
1570785044.785053|usage|loading todays usage|
1570785044.808726|short|init|
1570785044.811314|STORE|The store already exists in udefs|
1570785044.811466|xw|the new store already exists btt_data_store.version_3_202_build_1378|
1570785044.837203|LIC|idate 2019-09-30 08:00:36 +0000|
1570785044.877943|LIC|license appears to be valid|
1570785044.880777|LIC|license dictionary {
    CheckoutName = "Dirk Tornow";
    Email = "dirk@smings.com";
    LicenseType = "paddle_lifetime";
    Licenses = 1;
    Name = "Dirk Tornow";
    OrderID = 3e077963858a1f0ad0eee360737f6c61;
    Product = BetterTouchTool;
    Signature = <2f068c1d e2832ee2 79716cd0 54f19928 ad36a080 0ea90591 22a24b23 dba7006b c9d8a760 3269c7c1 fecdba13 27656c75 18225850 6278e974 cb23f0ee e28fe7b4 52826556 43928061 07604770 06fb405b f9b0de21 07e1d5c0 201ca9b8 34eb9468 6598e681 49c29b10 a8c415fa f10a4b15 2b7f51ae 04f37876 8ba28ded 5766fc94>;
    Timestamp = 1568360356;
    TransactionID = "39422015-chreb48eb62a14f-6ce7abad5e";
}|
1570785044.880866|LIC|systemdate 2019-09-13 07:39:16 +0000|
1570785044.880883|LIC|using date 1568360356|
1570785044.880926|lic|newest date 2019-09-13 07:39:16 +0000|
1570785044.880940|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570785044.885283|lic|newest date 2019-09-13 07:39:16 +0000|
1570785044.885311|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570785044.886393|LIC|License is valid for this version|
1570785044.915081|lic|newest date 2019-09-13 07:39:16 +0000|
1570785044.915109|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570785044.947384|xw|is trusted|
1570785044.983943|short|call sharedInstance4|
1570785045.104015|M|mt_stop10|
1570785045.107419|M|register touchbar mbp trackpad|
1570785045.107442|M|register internal trackpad|
1570785045.107690|M|register magic mouse|
1570785045.108029|M|register magic trackpad 2|
1570785045.108218|STDEV|6881|
1570785046.191707|lic|newest date 2019-09-13 07:39:16 +0000|
1570785046.191749|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570785046.200467|START|TB VISIBLE 0|
1570785046.200513|START|TB FORCED HIDDEN 0|
1570785046.207291|LAUNCH|DIDLaunch END frontmostApp: com.apple.coreservices.uiagent, touchpadMode 0, windowSnappingDisabled 0, singleFingerScrollingDisabled 0, mmScrollingUsed 0, tpScrollingUsed 0, tpPinchUsed 0, tpRotateUsed 0|
1570785046.257479|lic|newest date 2019-09-13 07:39:16 +0000|
1570785046.257503|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570785046.335835|SLEEP|FORCESHOWAFTERSLEEP2|
1570785046.335877|TB|Force show Touch Bar|
1570785047.372412|M|mt_stop2|
1570785047.374078|M|unregister magic trackpad 2|
1570785047.374128|M|unregister magic mouse|
1570785047.375525|M|unregister magic trackpad 2|
1570785047.379332|M|register touchbar mbp trackpad|
1570785047.379359|M|register internal trackpad|
1570785047.379546|M|register magic mouse|
1570785047.379862|M|register magic trackpad 2|
1570785047.380041|STDEV|6881|
1570785047.597992|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(McDiTo) port(50675)|
1570785047.811279|SLEEP|FORCESHOWAFTERSLEEP3|
1570785047.811306|TB|Force show Touch Bar|
1570785090.153511|LMDrag|dragged after three finger click block|
1570785157.649961|LMDrag|dragged after three finger click block|
1570785167.136372|LMDrag|dragged after three finger click block|
1570785170.330545|LMDrag|dragged after three finger click block|
1570785177.052460|WISNA|Focus doesn't match window pid|
1570785177.060040|LMDrag|dragged after three finger click block|
1570785180.549816|WISNA|Focus doesn't match window pid|
1570785180.553955|LMDrag|dragged after three finger click block|
1570785183.690169|WISNA|Focus doesn't match window pid|
1570785183.693323|LMDrag|dragged after three finger click block|
1570785193.604073|LMDrag|dragged after three finger click block|
1570785394.065257|LMDrag|dragged after three finger click block|
1570785399.709972|LMDrag|dragged after three finger click block|
1570785410.469631|WISNA|Focus doesn't match window pid|
1570785410.472621|LMDrag|dragged after three finger click block|
1570785415.355303|LMDrag|dragged after three finger click block|
1570785422.756518|LMDrag|dragged after three finger click block|
1570785455.108940|c00|14|
1570785474.199403|c00|14|
1570785497.392645|LMDrag|dragged after three finger click block|
1570785620.754740|LMDrag|dragged after three finger click block|
1570785645.291985|lic|newest date 2019-09-13 07:39:16 +0000|
1570785645.292049|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570785652.535875|LMDrag|dragged after three finger click block|
1570785652.554931|LMDrag|dragged after three finger click block|
1570785715.364343|SWI|PID MISMATCH FIX|
1570785758.133675|LMDrag|dragged after three finger click block|
1570785778.078268|LMDrag|dragged after three finger click block|
1570785942.273995|LMDrag|dragged after three finger click block|
1570785958.506973|LMDrag|dragged after three finger click block|
1570786024.726617|LMDrag|dragged after three finger click block|
1570786238.390311|SEC|SecureInputActive com.apple.Terminal 2061|
1570786256.893720|LMDrag|dragged after three finger click block|
1570786259.949510|LMDrag|dragged after three finger click block|
1570786263.646284|SEC|SecureInputDisabled com.apple.Terminal|
1570786383.374300|LMDrag|dragged after three finger click block|
1570786403.290073|SWI|PID MISMATCH FIX|
1570786489.791985|SEC|SecureInputActive com.apple.Terminal 2061|
1570786530.371036|LMDrag|dragged after three finger click block|
1570786563.507686|SWI|PID MISMATCH FIX|
1570786572.850103|LMDrag|dragged after three finger click block|
1570786574.844676|LMDrag|dragged after three finger click block|
1570786664.911485|LMDrag|dragged after three finger click block|
1570786671.222673|LMDrag|dragged after three finger click block|
1570786676.429482|LMDrag|dragged after three finger click block|
1570786710.464172|LMDrag|dragged after three finger click block|
1570786789.626980|LMDrag|dragged after three finger click block|
1570786887.270275|SWI|PID MISMATCH FIX|
1570786963.860990|LMDrag|dragged after three finger click block|
1570787128.015697|SWI|PID MISMATCH FIX|
1570787212.224835|LMDrag|dragged after three finger click block|
1570787233.952256|LMDrag|dragged after three finger click block|
1570787287.767109|WISNA|Focus doesn't match window pid|
1570787287.770427|LMDrag|dragged after three finger click block|
1570787296.272099|WISNA|Focus doesn't match window pid|
1570787296.275161|LMDrag|dragged after three finger click block|
1570787299.551674|LMDrag|dragged after three finger click block|
1570787331.251460|LMDrag|dragged after three finger click block|
1570787351.350601|LMDrag|dragged after three finger click block|
1570787470.340938|LOGIN|RESTART AFTER LOGIN|
1570787470.349656|xw|should relaunch|
1570787470.349918|xw|BTTRelaunch found|
1570787470.349942|xw|BTTRelaunch call seems successfull|
1570787470.369597|TERMINATE|SHOULDTERMINATE|
1570787470.714325|LAUNCH|DIDLaunch START|
1570787470.720031|SYS|Running on macOS: 10.14.6|
1570787470.720059|SYS|BTT Version: 3.202|
1570787470.720090|SYS|Device: MacBookPro15,2|
1570787470.788177|usage|loading todays usage|
1570787470.801280|short|init|
1570787470.802521|STORE|The store already exists in udefs|
1570787470.802641|xw|the new store already exists btt_data_store.version_3_202_build_1378|
1570787470.818730|LIC|idate 2019-09-30 08:00:36 +0000|
1570787470.828338|LIC|closing previous instance of BetterTouchTool relaunch|
1570787470.835572|LIC|license appears to be valid|
1570787470.836384|LIC|license dictionary {
    CheckoutName = "Dirk Tornow";
    Email = "dirk@smings.com";
    LicenseType = "paddle_lifetime";
    Licenses = 1;
    Name = "Dirk Tornow";
    OrderID = 3e077963858a1f0ad0eee360737f6c61;
    Product = BetterTouchTool;
    Signature = <2f068c1d e2832ee2 79716cd0 54f19928 ad36a080 0ea90591 22a24b23 dba7006b c9d8a760 3269c7c1 fecdba13 27656c75 18225850 6278e974 cb23f0ee e28fe7b4 52826556 43928061 07604770 06fb405b f9b0de21 07e1d5c0 201ca9b8 34eb9468 6598e681 49c29b10 a8c415fa f10a4b15 2b7f51ae 04f37876 8ba28ded 5766fc94>;
    Timestamp = 1568360356;
    TransactionID = "39422015-chreb48eb62a14f-6ce7abad5e";
}|
1570787470.836438|LIC|systemdate 2019-09-13 07:39:16 +0000|
1570787470.836447|LIC|using date 1568360356|
1570787470.836469|lic|newest date 2019-09-13 07:39:16 +0000|
1570787470.836475|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570787470.838073|lic|newest date 2019-09-13 07:39:16 +0000|
1570787470.838101|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570787470.838275|LIC|License is valid for this version|
1570787470.853234|lic|newest date 2019-09-13 07:39:16 +0000|
1570787470.853252|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570787470.871360|xw|is trusted|
1570787470.898558|short|call sharedInstance4|
1570787470.908426|SEC|SecureInputActive com.apple.Terminal 2061|
1570787470.980291|M|mt_stop10|
1570787470.983017|M|register touchbar mbp trackpad|
1570787470.983044|M|register internal trackpad|
1570787470.983229|M|register magic mouse|
1570787470.983452|M|register magic trackpad 2|
1570787470.983579|STDEV|6881|
1570787471.593058|lic|newest date 2019-09-13 07:39:16 +0000|
1570787471.593079|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570787471.594761|START|TB VISIBLE 0|
1570787471.594778|START|TB FORCED HIDDEN 0|
1570787471.598714|LAUNCH|DIDLaunch END frontmostApp: com.googlecode.iterm2, touchpadMode 0, windowSnappingDisabled 0, singleFingerScrollingDisabled 0, mmScrollingUsed 0, tpScrollingUsed 0, tpPinchUsed 0, tpRotateUsed 0|
1570787471.617921|lic|newest date 2019-09-13 07:39:16 +0000|
1570787471.617937|lic|lict 39422015-chreb48eb62a14f-6ce7abad5e|
1570787471.635607|SLEEP|FORCESHOWAFTERSLEEP2|
1570787471.635628|TB|Force show Touch Bar|
1570787471.760840|SLEEP|FORCESHOWAFTERSLEEP3|
1570787471.760860|TB|Force show Touch Bar|
1570787472.375566|M|mt_stop2|
1570787472.377168|M|unregister magic trackpad 2|
1570787472.377199|M|unregister magic mouse|
1570787472.377568|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(McDiTo) port(50675)|
1570787472.378415|M|unregister magic trackpad 2|
1570787472.380099|M|register touchbar mbp trackpad|
1570787472.380115|M|register internal trackpad|
1570787472.380210|M|register magic mouse|
1570787472.380344|M|register magic trackpad 2|
1570787472.380425|STDEV|6881|
1570787474.531482|SEC|SecureInputDisabled com.apple.Terminal|
1570787474.549495|TERMINATE|SHOULDTERMINATE|
1570787516.842070|LAUNCH|DIDLaunch START|
1570787516.850894|SYS|Running on macOS: 10.14.6|
